Date,Step count
10/28/2014,1426
10/29/2014,3370
10/30/2014,3388
10/31/2014,5678
11/1/2014,21181
11/2/2014,2246
11/3/2014,1893
11/4/2014,1897
11/5/2014,2175
11/6/2014,4640
11/7/2014,1442
11/8/2014,4408
11/9/2014,13679
11/10/2014,2221
11/11/2014,4020
11/12/2014,2680
11/13/2014,2113
11/14/2014,4569
11/15/2014,1362
11/16/2014,608
11/17/2014,3900
11/18/2014,1983
11/19/2014,1384
11/20/2014,1785
11/21/2014,5400
11/22/2014,6527
11/23/2014,4546
11/24/2014,2158
11/25/2014,2280
11/26/2014,2302
11/27/2014,6135
11/28/2014,1488
11/29/2014,10099
11/30/2014,3054
12/1/2014,1433
12/2/2014,2988
12/3/2014,4763
12/4/2014,2320
12/5/2014,8047
12/6/2014,4447
12/7/2014,301
12/8/2014,2492
12/9/2014,2416
12/10/2014,2695
12/11/2014,1975
12/12/2014,3097
12/13/2014,1935
12/14/2014,575
12/15/2014,5802
12/16/2014,4111
12/17/2014,2495
12/18/2014,5121
12/19/2014,1283
12/20/2014,10045
12/21/2014,3360
12/22/2014,4026
12/23/2014,1299
12/24/2014,2868
12/25/2014,4058
12/26/2014,2817
12/27/2014,12114
12/28/2014,3521
12/29/2014,2032
12/30/2014,3795
12/31/2014,3442
1/1/2015,2598
1/2/2015,1671
1/3/2015,92
1/4/2015,5023
1/5/2015,1961
1/6/2015,2534
1/7/2015,1786
1/8/2015,3562
1/9/2015,3346
1/10/2015,114
1/11/2015,468
1/12/2015,3444
1/13/2015,2091
1/14/2015,3794
1/15/2015,4177
1/16/2015,1148
1/17/2015,4361
1/18/2015,849
1/19/2015,1976
1/20/2015,3922
1/21/2015,1804
1/22/2015,8984
1/23/2015,4169
1/24/2015,12038
1/25/2015,1281
1/26/2015,6943
1/27/2015,15290
1/28/2015,5458
1/29/2015,8743
1/30/2015,2848
1/31/2015,7009
2/1/2015,5147
2/2/2015,4792
2/3/2015,516
2/4/2015,2936
2/5/2015,3033
2/6/2015,22279
2/7/2015,14166
2/8/2015,5852
2/9/2015,3363
2/10/2015,3080
2/11/2015,3388
2/12/2015,3132
2/13/2015,7490
2/14/2015,9391
2/15/2015,3623
2/16/2015,814
2/17/2015,3846
2/18/2015,8252
2/19/2015,1597
2/20/2015,4048
2/21/2015,4860
2/22/2015,2184
2/23/2015,1962
2/24/2015,5614
2/25/2015,2555
2/26/2015,1756
2/27/2015,405
2/28/2015,1318
3/1/2015,2241
3/2/2015,4028
3/3/2015,4045
3/4/2015,2532
3/5/2015,2372
3/6/2015,3349
3/7/2015,11152
3/8/2015,654
3/9/2015,4470
3/10/2015,4065
3/11/2015,4562
3/12/2015,2798
3/13/2015,2703
3/14/2015,12668
3/15/2015,9927
3/16/2015,3063
3/17/2015,3218
3/18/2015,3074
3/19/2015,5923
3/20/2015,5548
3/21/2015,2060
3/22/2015,681
3/23/2015,4186
3/24/2015,8031
3/25/2015,2847
3/26/2015,4453
3/27/2015,8091
3/28/2015,10210
3/29/2015,4346
3/30/2015,4909
3/31/2015,10913
4/1/2015,9842
4/2/2015,13371
4/3/2015,7576
4/4/2015,27276
4/5/2015,18383
4/6/2015,6727
4/7/2015,4456
4/8/2015,2974
4/9/2015,170
4/10/2015,2373
4/11/2015,5499
4/12/2015,653
4/13/2015,2475
4/14/2015,2766
4/15/2015,2559
4/16/2015,8518
4/17/2015,8828
4/18/2015,10502
4/19/2015,749
4/20/2015,2004
4/21/2015,3337
4/22/2015,3311
4/23/2015,3491
4/24/2015,1703
4/25/2015,10666
4/26/2015,736
4/27/2015,2583
4/28/2015,2113
4/29/2015,2871
4/30/2015,3758
5/1/2015,6515
5/2/2015,4755
5/3/2015,3309
5/4/2015,4197
5/5/2015,2755
5/6/2015,3732
