Date,Steps
2014-10-28,1426
2014-10-29,3370
2014-10-30,3388
2014-10-31,5678
2014-11-01,21181
2014-11-02,2246
2014-11-03,1893
2014-11-04,1897
2014-11-05,2175
2014-11-06,4640
2014-11-07,1442
2014-11-08,4408
2014-11-09,13679
2014-11-10,2221
2014-11-11,4020
2014-11-12,2680
2014-11-13,2113
2014-11-14,4569
2014-11-15,1362
2014-11-16,608
2014-11-17,3900
2014-11-18,1983
2014-11-19,1384
2014-11-20,1785
2014-11-21,5400
2014-11-22,6527
2014-11-23,4546
2014-11-24,2158
2014-11-25,2280
2014-11-26,2302
2014-11-27,6135
2014-11-28,1488
2014-11-29,10099
2014-11-30,3054
2014-12-01,1433
2014-12-02,2988
2014-12-03,4763
2014-12-04,2320
2014-12-05,8047
2014-12-06,4447
2014-12-07,301
2014-12-08,2492
2014-12-09,2416
2014-12-10,2695
2014-12-11,1975
2014-12-12,3097
2014-12-13,1935
2014-12-14,575
2014-12-15,5802
2014-12-16,4111
2014-12-17,2495
2014-12-18,5121
2014-12-19,1283
2014-12-20,10045
2014-12-21,3360
2014-12-22,4026
2014-12-23,1299
2014-12-24,2868
2014-12-25,4058
2014-12-26,2817
2014-12-27,12114
2014-12-28,3521
2014-12-29,2032
2014-12-30,3795
2014-12-31,3442
2015-01-01,2598
2015-01-02,1671
2015-01-03,92
2015-01-04,5023
2015-01-05,1961
2015-01-06,2534
2015-01-07,1786
2015-01-08,3562
2015-01-09,3346
2015-01-10,114
2015-01-11,468
2015-01-12,3444
2015-01-13,2091
2015-01-14,3794
2015-01-15,4177
2015-01-16,1148
2015-01-17,4361
2015-01-18,849
2015-01-19,1976
2015-01-20,3922
2015-01-21,1804
2015-01-22,8984
2015-01-23,4169
2015-01-24,12038
2015-01-25,1281
2015-01-26,6943
2015-01-27,15290
2015-01-28,5458
2015-01-29,8743
2015-01-30,2848
2015-01-31,7009
2015-02-01,5147
2015-02-02,4792
2015-02-03,516
2015-02-04,2936
2015-02-05,3033
